Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
11071508406,HEX FL BOLT M8X40 TS17130-8.8-SS8451-8C,, 11.00 ,18%,, 8.58 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508457,HEX FL BOLT M8X45 TS17130-8.8-SS8451-8C,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508554,HEX FL BOLT M8X55 TS17130 8.8 SS8451-8C,, 7.00 ,18%,, 5.46 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508856,HEX FL BOLT M8X85 TS17130 8.8 SS8451-8C,, 9.00 ,18%,, 7.02 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508902,HEX FL BOLT M8X90 TS17130 8.8 SS8451-8C,, 18.00 ,18%,, 14.03 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508911,HEX FL BOLT M8X95 TS17130-8.8-SS8451S2-Y,, 22.00 ,18%,, 17.15 ,,EA,,TELCO,TATA,,,,,,,,,,,,73181500,,,
11071508929,HEX FL BOLT M8X100 TS17130-8.8-SS8451-8C,, 15.00 ,18%,, 11.70 ,,EA,,TELCO,TATA,Indica/Indigo,,,,,,,,,,,87089900,,,
11071508937,HEX FL BOLT M8X110 TS17130-8.8-SS8451-8C,, 15.00 ,18%,, 11.70 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071508945,HEX FL BOLT M8X120 TS17130-8.8-SS8451-8C,, 16.00 ,18%,, 12.48 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071510303,HEXFL BOLT M10X30 TS17130-8.8-SS8451S2-Y,, 17.00 ,18%,, 13.25 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071510354,HEXFL BOLT M10X35 TS17130-8.8-SS8451S2-Y,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,All,,,,,,,,,,,87089900,,,
11071510401,HEXFL BOLT M10X40 TS17130-8.8-SS8451S2-Y,, 18.00 ,18%,, 14.03 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071510508,HEX FL BOLT M10X50 TS17130-8.8-SS8451-8C,, 28.00 ,18%,, 21.83 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071510559,HEXFL BOLT M10X55 TS17130-8.8-SS8451S2-Y,, 24.00 ,18%,, 18.71 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071510656,HEX FL BOLT M10X65 TS17130-8.8-SS8451-8C,, 34.00 ,18%,, 26.51 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071510702,HEX FL BOLT M10X70 TS17130-8.8-SS8451-8C,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071510753,HEXFL BOLT M10X75 TS17130-8.8-SS8451S2-Y,, 28.00 ,18%,, 21.83 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071510907,HEX FL BOLT M10X90 TS17130-8.8-SS8451-8C,, 28.00 ,18%,, 21.83 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071510923,H/FL BOLT M10X100 TS17130-8.8-SS8451S2-Y,, 60.00 ,18%,, 46.78 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071512969,HEX FL BOLT M12X140 TS17130-8.8SS8451-8C,, 68.00 ,18%,, 53.02 ,,EA,,TELCO,TATA,All,,,,,,,,,,,87089900,,,
11071598014,H/FL BOLT M8X125 TS17130-8.8-SS8451S2-Y,, 19.00 ,18%,, 14.81 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071598073,H/FL BOLT M8X135 TS17130-8.8-SS8451S2-Y,, 30.00 ,18%,, 23.39 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071610651,FL BOLT M10X1.25X65TS17130-8.8-SS8451-8C,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071708359,H/FL BOLT M8X35 TS17130-10.9-SS8451S2-YH,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071708502,H/FL BOLT M8X50 TS17130-10.9-SS8451S2-YH,, 6.00 ,18%,, 4.68 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071708553,H/FL BOLT M8X55 TS17130-10.9-SS8451S2-YH,, 19.00 ,18%,, 14.81 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11071708600,H/FL BOLT M8X60 TS17130-10.9-SS8451S2-YH,, 13.00 ,18%,, 10.14 ,,EA,,TELCO,TATA,,,,,,,,,,,,73181500,,,
11071708707,H/FL BOLT M8X70 TS17130-10.9-SS8451S2-YH,, 30.00 ,18%,, 23.39 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
